town,state,sentiment_score,number_of_posts,satisfaction_score,score_valid
Northport, AL,0.34163576119402983,10052,3.2013,1
Vestavia Hills, AL,0.26739928315412187,1395,3.0339,1
Moulton, AL,0.3813375,8,3.2909,1
Blairs Mills, PA,n/a,0,2.4305,0
Herndon, PA,0.22464854586129754,2682,2.9373,1
Myerstown, PA,0.33792537313432836,938,3.193,1
Honey Brook, PA,0.24108401253918496,638,2.9746,1
Fairfax, VA,0.328740748913868,14501,3.1722,1
Pasadena, TX,-0.004300000000000002,118,2.4208,1
West Yarmouth, MA,0.13976106800022994,17397,2.746,1
New Hope, MN,0.258676401179941,2712,3.0143,1
Lehigh Acres, FL,0.07378888888888888,72,2.5971,1
Auburn, KY,0.26338284671532847,274,3.0249,1
Lewisport, KY,0.10794545454545455,11,2.674,1
Kennewick, WA,0.43813888888888886,54,3.4191,1
Eureka, CA,0.22655465313028766,2955,2.9419,1
Fuquay Varina, NC,0.44225581395348834,43,3.4286,1
Boiling Springs, SC,0.19979211434204042,2029,2.8814,1
Kennesaw, GA,0.25478740920096854,413,3.0055,1
Woodstock, MD,0.5898166666666667,78,3.7614,1
Corpus Christi, TX,0.23309710005191722,26966,2.9565,1
Ellwood City, PA,0.1630423398328691,1436,2.7983,1
Forest City, PA,0.1683048888888889,450,2.8103,1
Suwanee, GA,0.2892171875,3456,3.0831,1
Damascus, PA,0.19124786324786325,234,2.862,1
Indian Creek, IL,0.28483429203539823,452,3.0732,1
Lansing, IL,0.28092234375,1280,3.0644,1
Blaine, MN,0.24504776602633283,4633,2.9834,1
Conneaut, OH,0.185972972972973,37,2.8502,1
Wimberley, TX,0.2760218322866642,2707,3.0533,1
Weems, VA,0.33927539432176657,634,3.1962,1
Lawton, MI,n/a,0,2.4305,0
Milford, KS,-0.0025,4,2.4249,1
Brooksville, KY,0.38896129032258064,31,3.3083,1
Claysville, PA,0.12295350318471338,157,2.7081,1
Waukesha, WI,0.32904903225806453,155,3.1729,1
Gay, GA,0.24691549295774648,71,2.9877,1
Van Vleck, TX,0.2082,13,2.9003,1
Chesnee, SC,0.23079060109289617,915,2.9513,1
Mobile, AL,0.27266241610738257,40827,3.0459,1
Canastota, NY,0.2584877551020408,98,3.0138,1
New Fairfield, CT,n/a,0,2.4305,0
Solway, MN,n/a,0,2.4305,0
Falls Church, VA,0.3162474010973145,6927,3.144,1
Brentwood, TN,0.26688349317210464,19186,3.0328,1
Bentonville, AR,0.2503390036776998,29910,2.9953,1
Dalton, PA,0.135896,700,2.7372,1
East Freedom, PA,0.6410583333333334,48,3.8771,1
Haverford, PA,0.44554285714285713,434,3.4358,1
White Lake, MI,0.2403050254916242,4119,2.9728,1
Aitkin, MN,0.29816735833998403,1253,3.1034,1
Garland, TX,0.39286767676767675,297,3.3171,1
Oakland, KY,0.16808046875,128,2.8099,1
Lawrenceville, NJ,0.3059137339055794,466,3.1208,1
Columbia, TN,0.48373135888501745,1148,3.522,1
Costa Mesa, CA,0.472512955465587,741,3.4967,1
Ohatchee, AL,0.20215833333333333,12,2.8868,1
Kunkletown, PA,0.3143141975308642,648,3.1397,1
Dubuque, IA,0.04893492063492064,63,2.5409,1
Kutztown, PA,0.28020542857142855,1400,3.0628,1
Reston, VA,0.3019437754559943,5647,3.1118,1
Flourtown, PA,0.43388571428571426,518,3.4096,1
New Columbia, PA,0.2580972222222222,72,3.0129,1
Kensington, MN,0.12244999999999999,6,2.7067,1
Nephi, UT,n/a,0,2.4305,0
Frankfort, KY,0.25958145454545456,6875,3.0163,1
Hebron, KY,0.27083649974186885,1937,3.0416,1
Willow Grove, PA,0.2598568818514007,821,3.017,1
Grand Bay, AL,0.2913504273504274,1755,3.0881,1
New Lenox, IL,0.2534804469273743,358,3.0026,1
Aurora, CO,0.2329389456477319,4894,2.9561,1
Chambersburg, PA,0.26285026636225267,7896,3.0238,1
Trappe, PA,0.3104180616740088,1362,3.1309,1
Youngstown, FL,0.4387,80,3.4204,1
Toms River, NJ,0.29821274238227147,722,3.1034,1
Manassas, VA,0.2911649954764777,13264,3.0876,1
Avon Lake, OH,0.38141071428571427,28,3.2911,1
West Branch, MI,0.14054,5,2.7476,1
Janesville, MN,n/a,0,2.4305,0
Delano, MN,0.2555073043478261,575,3.0071,1
Pensacola, FL,0.4905479674796748,246,3.5373,1
Huntsville, AL,0.2520110982333041,31924,2.9992,1
Basehor, KS,0.17284114583333335,192,2.8205,1
Fort Myers, FL,0.09256015660985721,2171,2.6395,1
Avondale, CO,0.0,12,2.4305,1
Veneta, OR,0.26665540983606556,610,3.0323,1
Evergreen, CO,0.33435800643086816,1555,3.1851,1
Kirkwood, PA,0.18752162162162164,74,2.8536,1
Deale, MD,0.24094754098360657,366,2.9741,1
Emmaus, PA,0.307038532675709,3244,3.1233,1
Freeport, PA,0.18748987341772153,158,2.8536,1
Rockledge, PA,0.4065506976744186,430,3.348,1
Scranton, PA,0.24347153141361258,6112,2.98,1
Tyrone, PA,0.14156315789473684,152,2.7501,1
Mocanaqua, PA,0.1529,26,2.7756,1
Jupiter, FL,0.28483429203539823,904,3.0732,1
Uniontown, PA,0.20991377777777778,450,2.9042,1
Hazle Township, PA,0.272180981595092,326,3.0447,1
Mount Pocono, PA,0.19691555555555554,90,2.8748,1
San Leandro, CA,0.14768694450585895,9046,2.7638,1
Emily, MN,0.18379036144578315,166,2.8453,1
Lakeside Marblehead, OH,0.17391674757281553,2472,2.8229,1
North Hollywood, CA,0.38824545454545456,33,3.3065,1
Yakima, WA,n/a,0,2.4305,0
Mount Washington, KY,0.2346051319648094,4092,2.9599,1
Claysburg, PA,0.228388,25,2.9459,1
Westview, KY,0.0,1,2.4305,1
Sandy, UT,0.30443539695057836,7612,3.1174,1
Union, KY,0.4070978093306288,2465,3.3491,1
Cross Hill, SC,0.34713076923076924,130,3.2138,1
Trinity, AL,0.27119322709163346,251,3.0425,1
Winfield, AL,0.3029965210355987,1236,3.1142,1
Glen Allen, VA,0.29637983302895904,7666,3.0994,1
New City, NY,0.4096086206896552,116,3.3548,1
Lock Haven, PA,0.1772151712887439,1226,2.8304,1
Wallingford, PA,0.33420956937799046,418,3.1846,1
West Milton, PA,n/a,0,2.4305,0
Norman, OK,0.3415155656159177,17892,3.2011,1
Russellton, PA,0.19936739130434783,92,2.8805,1
Crossville, TN,0.4309,6,3.4028,1
Broken Arrow, OK,0.1538104768786127,1384,2.7776,1
Fisher, IL,0.09686153846153846,13,2.6492,1
Kirkland, IL,0.0,4,2.4305,1
Murfreesboro, TN,0.3656671361502347,213,3.2557,1
Westfield, IN,0.38929149689991144,2258,3.309,1
Pittsburg, KS,0.2275604966139955,443,2.9441,1
Grand Haven, MI,0.21676282051282053,78,2.9197,1
Dry Ridge, KY,0.37281717902350814,1106,3.2717,1
Aspen, CO,0.2700890929965557,6968,3.04,1
Spottsville, KY,0.11711666666666667,24,2.6948,1
New Hope, AL,0.3956853211009174,218,3.3234,1
Elmore, AL,0.14608656716417912,201,2.7602,1
Florala, AL,-0.0025,8,2.4249,1
Lakewood, CO,0.299786773255814,688,3.107,1
Eynon, PA,0.3992251851851852,542,3.3313,1
Georgetown, PA,0.23576143187066975,3464,2.9626,1
Willmar, MN,0.256362249614792,649,3.0091,1
Uncasville, CT,0.26483875,80,3.028,1
Long Lake, MN,0.2806408071748879,223,3.0637,1
Gibbon, MN,0.030190000000000012,10,2.4987,1
Rohnert Park, CA,0.3293994236311239,1041,3.1738,1
Hastings, MN,0.27899001512859306,1324,3.0601,1
Champlin, MN,0.24282398676592226,1209,2.9784,1
Sonora, TX,n/a,0,2.4305,0
Grand Prairie, TX,0.1776503717472119,538,2.8315,1
Lawrenceburg, KY,0.2599073905109489,1096,3.017,1
Central City, KY,0.15629019607843136,51,2.7832,1
Newton, MA,0.4880676478690331,25411,3.5319,1
Caney, KS,0.3049,1452,3.1185,1
Symsonia, KY,0.2581,70,3.0129,1
Earle, AR,0.0,7,2.4305,1
Raeford, NC,0.25970246913580247,81,3.0165,1
Apollo, PA,0.2532270935960591,812,3.0019,1
Seguin, TX,0.23559360863855247,6853,2.9622,1
Throop, PA,0.2649735294117647,340,3.0285,1
Lansford, PA,0.0883088888888889,270,2.6298,1
Dysart, PA,0.25388793103448276,116,3.0035,1
Upper Darby, PA,0.2878482573726542,746,3.0799,1
Eagle Lake, MN,0.09009893992932863,283,2.6339,1
Mamaroneck, NY,0.401189058524173,786,3.3358,1
Dennison, MN,0.11965,8,2.7006,1
Valley View, TX,0.480225,80,3.5141,1
Woodway, TX,0.28260927493559074,5434,3.0682,1
Cedar City, UT,0.2052410858995138,1234,2.8936,1
Strawn, TX,n/a,0,2.4305,0
Greenup, KY,0.19671951219512196,41,2.8744,1
Livonia, MI,0.31776666666666664,72,3.1476,1
Cassville, MO,0.12462954545454547,352,2.7117,1
Litchfield Park, AZ,0.21571460674157303,2759,2.9173,1
Southgate, KY,0.4983860975609756,820,3.5551,1
Gadsden, AL,0.24260004074149522,4909,2.978,1
Langston, AL,0.17687920642893018,1991,2.8297,1
Sumiton, AL,0.6208117647058824,17,3.8313,1
Chaffee, MO,0.07574,10,2.6014,1
Hollister, MO,0.32714493996569466,583,3.1686,1
Drums, PA,0.24856305404632542,3497,2.9915,1
Northfield, OH,0.5009384615384616,260,3.5608,1
Mc Alisterville, PA,0.3226047619047619,42,3.1585,1
Natrona Heights, PA,0.3101058897243108,1596,3.1303,1
Champaign, IL,0.265069262295082,732,3.0287,1
Hanover, MN,0.3116631818181818,220,3.1339,1
Middleton, MA,0.21483846153846153,286,2.9152,1
Clearwater, MN,0.25032333333333334,30,2.9953,1
London, OH,-0.059848571428571425,35,2.2956,1
Blythewood, SC,0.5251009436744323,3391,3.6154,1
Falmouth, KY,0.11356428571428573,112,2.6869,1
Fort Walton Beach, FL,0.35125375,80,3.2232,1
Viola, KS,0.0,2,2.4305,1
Adams Run, SC,0.0,1,2.4305,1
Aynor, SC,0.31708295081967214,305,3.1461,1
Six Mile, SC,0.3260647435897436,312,3.1664,1
Holly Springs, NC,0.33623333333333333,87,3.1892,1
Leesville, SC,0.24752618243243243,592,2.989,1
Cammack Village, AR,0.26504,65,3.0285,1
Weaver, AL,0.22041505016722407,299,2.9279,1
Oakland, MN,0.13244778761061946,452,2.7293,1
Willis, TX,0.20219975708502025,6176,2.8868,1
Tye, TX,n/a,0,2.4305,0
Clarksville, MD,0.24666324786324786,117,2.9872,1
Coxs Creek, KY,0.3000419512195122,205,3.1075,1
Junction City, KY,0.18357692307692308,104,2.8448,1
Owatonna, MN,0.22644192782526115,2106,2.9414,1
Yancey, TX,n/a,0,2.4305,0
Flower Mound, TX,0.2957096573208723,321,3.0978,1
Atkins, AR,0.12812727272727273,11,2.7196,1
Spanish Fort, AL,0.2792308333333333,1680,3.0605,1
Pell City, AL,0.2107578826237054,2607,2.9062,1
Unknown, OK,n/a,0,2.4305,0
Cumming, GA,0.39749762470308786,842,3.3275,1
Grapeville, PA,0.3515125,112,3.2237,1
Hollywood, SC,0.3130361875637105,981,3.1368,1
Markleysburg, PA,0.20759999999999998,12,2.899,1
Stoystown, PA,-0.002,10,2.426,1
Mount Pleasant, SC,0.3990404747596154,13312,3.3309,1
West Sunbury, PA,0.007328571428571436,98,2.447,1
Lakeville, MN,0.2769302133306114,9797,3.0554,1
Harwood Heights, IL,0.3812302631578947,76,3.2907,1
Palestine, TX,0.35845869565217386,46,3.2395,1
Pea Ridge, AR,0.051149462365591404,93,2.5459,1
Cobleskill, NY,0.029143750000000003,16,2.4962,1
Vineyard, UT,0.3528162583518931,449,3.2266,1
Rock Hill, SC,0.29475739616866325,18949,3.0957,1
Grand Junction, MI,0.3593833333333334,12,3.2415,1
Monetta, SC,0.2582107238605898,373,3.0132,1
Semmes, AL,0.3756303734061931,4392,3.2781,1
Altoona, PA,0.2755549295774648,2414,3.0524,1
Rembert, SC,0.2629548172757475,602,3.024,1
Santa Rosa, CA,0.34381975308641977,1215,3.2063,1
Creighton, PA,0.236875,304,2.9651,1
Lawrence, PA,0.23508323798627,3496,2.961,1
Hazleton, PA,0.08013617021276595,188,2.6113,1
Herminie, PA,0.2484978021978022,182,2.9913,1
Bethel, MN,0.3056358974358974,156,3.1201,1
Poultney, VT,0.1375142857142857,112,2.7408,1
Eagle Bend, MN,0.17682857142857145,14,2.8295,1
Bountiful, UT,0.22764372093023255,3440,2.9441,1
Slaton, TX,n/a,0,2.4305,0
Kelayres, PA,-0.018571428571428572,21,2.3886,1
Pleasanton, KS,0.2172265306122449,147,2.9206,1
Catlettsburg, KY,0.33122500000000005,8,3.1779,1
Paxico, KS,0.2202,2,2.9274,1
Fancy Farm, KY,0.15048585526315789,304,2.7701,1
Reno, NV,0.19351739130434784,69,2.8672,1
Bradford, RI,0.3117027118644068,295,3.1339,1
Fort Smith, AR,0.24049141791044776,4824,2.9732,1
Richardson, TX,0.26557411764705885,170,3.0299,1
Davenport, IA,0.32824843918191604,929,3.1711,1
Pineville, LA,0.2316931112365895,5313,2.9534,1
Natick, MA,0.30391205722070846,2936,3.1163,1
Brooksville, ME,0.40192666666666665,30,3.3374,1
Dublin, PA,0.19880311526479752,3210,2.8791,1
Bogart, GA,0.24055652173913042,23,2.9734,1
Hollywood, AL,0.0,5,2.4305,1
Cape Girardeau, MO,0.282932408691632,4326,3.0689,1
Lorain, OH,0.3063593220338983,59,3.1219,1
Lehighton, PA,0.22179282769991757,2426,2.931,1
Spring Branch, TX,0.2800284467713787,1146,3.0623,1
Plymouth Meeting, PA,0.3718844257703081,5355,3.2697,1
Columbus, OH,0.49894629629629633,108,3.5563,1
Stewartstown, PA,0.3280676400476758,1678,3.1709,1
Topton, PA,0.34896875,96,3.218,1
Los Gatos, CA,0.24619453024453025,4662,2.9861,1
Williamston, MI,0.2748982588235294,2125,3.0508,1
Lansdowne, PA,0.3325144396551724,928,3.1808,1
Pine Grove, PA,0.23605149253731345,536,2.9633,1
Roaring Brook Twp, PA,-0.7039,6,0.8423,1
Lilly, PA,0.22481619402985073,2680,2.9378,1
Mineral Point, PA,0.3822076923076923,26,3.293,1
Saxton, PA,0.4603532731376975,886,3.4694,1
Big Lake, MN,0.4175978787878788,660,3.3728,1
Avon, MN,0.3267924623115578,398,3.1679,1
Clearfield, UT,0.24744557535959977,6396,2.9888,1
Park City, KY,0.8306,1,4.3047,1
Scottsville, KY,0.2542509505703422,263,3.0044,1
Russellville, KY,0.18818157894736842,76,2.8552,1
Portland, TX,0.27336830985915495,142,3.0475,1
Beaufort, SC,0.31473333753784055,7929,3.1406,1
Belvedere, CA,0.14504324324324325,222,2.7577,1
Collinsville, AL,0.02261578947368421,38,2.4815,1
Double Springs, AL,0.39403921568627454,51,3.3196,1
Smiths Station, AL,0.36949093866171007,2152,3.2643,1
Jacksons Gap, AL,0.1653,40,2.8035,1
Wilsonville, OR,0.3069883435582822,1304,3.1233,1
Athens, PA,0.13485092592592593,216,2.7349,1
Jermyn, PA,0.30105689655172413,116,3.11,1
Marion Heights, PA,0.21986363636363637,22,2.9267,1
South Fork, PA,0.21841964809384165,682,2.9234,1
Lake Ariel, PA,0.28767384105960264,302,3.0797,1
Duquesne, PA,0.11441846153846154,130,2.6887,1
Sutersville, PA,0.1873304347826087,92,2.8532,1
Landenberg, PA,0.34767469725940087,3138,3.2151,1
Herscher, IL,0.12556176470588234,34,2.714,1
Cerritos, CA,0.24563674540682412,762,2.9847,1
Valparaiso, IN,1.3497,1,5.0000,1
Newport, MN,0.29739076923076924,260,3.1016,1
Easley, SC,0.28011372718125627,6957,3.0626,1
Clemson, SC,0.33491101083032493,1108,3.1862,1
Vinemont, AL,0.20695299539170506,217,2.8976,1
Jacksonville, AL,0.34947250608272507,411,3.2192,1
