town,state,sentiment_score,number_of_posts,satisfaction_score,score_valid
Barnwell, SC,0.2613482041587902,529,3.0202,1
Empire, AL,0.18923175675675677,148,2.8575,1
Ravenel, SC,0.2579922413793103,696,3.0127,1
Fombell, PA,0.10097894736842106,76,2.6584,1
Kulpmont, PA,0.09391666666666668,132,2.6424,1
Holmes, PA,0.05788297872340427,94,2.5612,1
Salisbury, NC,0.2773025744167337,1243,3.0563,1
Eddystone, PA,0.34803389830508474,236,3.2158,1
Landisburg, PA,0.11643333333333332,12,2.6932,1
Shamokin, PA,0.3874916666666667,312,3.3049,1
Hamel, MN,0.27093850746268655,335,3.0418,1
Vienna, VA,0.301251376146789,327,3.1104,1
Independence, KY,0.28555515302935663,1601,3.075,1
Syracuse, KS,0.43142359208523595,657,3.404,1
Inman, SC,0.300278859527121,4314,3.1082,1
Gloucester, MA,0.35427216564833675,2946,3.23,1
Rockville, MD,0.3159577348066298,2172,3.1436,1
Stevens Point, WI,0.28587465753424657,146,3.0757,1
Anderson, SC,0.29615568976046686,14737,3.0989,1
Spartanburg, SC,0.31859486890085087,11518,3.1494,1
Jefferson, SC,0.19699281314168376,487,2.8751,1
Cordova, TN,0.30557234726688104,311,3.1201,1
Gulf Shores, AL,0.27313847624650683,6799,3.0468,1
Opp, AL,0.21695897435897435,117,2.9202,1
Rainbow City, AL,0.261150875,800,3.0199,1
Prior Lake, MN,0.2815215567349002,3957,3.0657,1
Boscawen, NH,0.09734166666666666,72,2.6501,1
Northern Cambria, PA,0.066740625,64,2.5811,1
Swarthmore, PA,0.3451383512544803,1116,3.2092,1
Evergreen Park, IL,0.03175696202531646,79,2.5023,1
Kirkwood, MO,0.29144577464788735,1136,3.0881,1
White Bear Lake, MN,0.2872611386138614,808,3.0788,1
Plainview, MN,0.3514183856502242,1115,3.2235,1
Kershaw, SC,0.23984558303886927,566,2.9716,1
Laurens, SC,0.26866750496360026,1511,3.0368,1
Grant City, MO,0.22658928571428572,28,2.9419,1
Weston, OR,0.09118163265306123,98,2.6363,1
Hillsborough, NC,0.2902785763888889,2880,3.0856,1
Tulsa, OK,0.15078050657261943,3119,2.7708,1
Collegeville, PA,0.3318913248819289,4023,3.1795,1
Clayton, NC,0.3563351515151515,7920,3.2345,1
Greenville, MS,0.24035077319587628,388,2.973,1
Laurys Station, PA,0.17216620689655174,290,2.8191,1
Sherman, TX,0.3076749951876805,5195,3.1248,1
Wallisville, TX,0.3105126984126984,252,3.1312,1
Harrodsburg, KY,0.30820539018503623,2486,3.126,1
Quenemo, KS,0.10330833333333332,12,2.6636,1
Wyalusing, PA,0.1348,7,2.7347,1
Statesville, NC,0.23633032786885247,244,2.9637,1
Wamego, KS,0.1890769230769231,65,2.8572,1
Concord, NC,0.45350916334661356,251,3.4538,1
Ross, CA,0.4136135922330097,103,3.3638,1
Bay, AR,n/a,0,2.4305,0
Brighton, AL,0.47858809523809526,42,3.5105,1
Brookhaven, PA,0.330136050302748,2147,3.1754,1
Glenmoore, PA,0.2514574468085106,470,2.998,1
Northville, MI,n/a,0,2.4305,0
Vandling, PA,n/a,0,2.4305,0
Rome, NY,0.0,3,2.4305,1
Lakeport, CA,0.15575909090909093,66,2.7821,1
Bristol, RI,0.31528385345997284,737,3.142,1
Robards, KY,0.17132666666666668,15,2.8171,1
Foley, AL,0.262105994606928,4821,3.022,1
New Ellenton, SC,0.19023897637795276,508,2.8597,1
Blackwood, NJ,0.08926296296296297,108,2.632,1
Union, OR,0.10183759398496241,1596,2.6603,1
Everett, PA,0.2580388888888889,36,3.0127,1
Conshohocken, PA,0.3556533774834437,755,3.2332,1
Fenton, MO,0.29585682699767263,5156,3.0982,1
Gettysburg, PA,0.24280419906687403,3858,2.9784,1
Loretto, MN,0.44430887245841033,541,3.4331,1
Texas City, TX,0.2678489757914339,3222,3.0348,1
Mount Sterling, KY,0.28836347621843805,1703,3.0813,1
Paint Lick, KY,0.2988,11,3.1048,1
Bossier City, LA,0.32004233428222856,4918,3.1526,1
Santaquin, UT,0.07326666666666667,36,2.5959,1
Glenelg, MD,0.31066672694394215,3318,3.1316,1
Westerly, RI,0.2942579771222155,1661,3.0946,1
Jber, AK,0.05851818181818181,11,2.5625,1
Manning, SC,0.29606617647058825,204,3.0987,1
Nashua, NH,n/a,0,2.4305,0
Broomall, PA,0.3751235593220339,1180,3.2769,1
East Brunswick, NJ,0.27270373216245886,911,3.0459,1
Palmerton, PA,0.351879427359491,943,3.2246,1
Clovis, CA,0.22968525641025642,624,2.9488,1
Eldred, PA,0.2193267857142857,224,2.9254,1
Elizabethtown, KY,0.2923521205357143,1792,3.0903,1
Boston, MA,0.27555279340637645,20262,3.0524,1
Salem, NH,0.10271557093425605,1445,2.6623,1
Fox Lake, IL,0.2560610337972167,503,3.0084,1
Naples, FL,n/a,0,2.4305,0
Tatum, TX,n/a,0,2.4305,0
Del City, OK,0.286717881400209,7656,3.0775,1
Middlesboro, KY,0.16055869017632243,397,2.7929,1
Melvern, KS,-0.002,5,2.426,1
Irvine, KY,0.24016133333333334,225,2.9725,1
South Beloit, IL,0.20467088607594938,474,2.8924,1
Ranshaw, PA,0.0,3,2.4305,1
Sterling, AK,0.21466851990984223,1331,2.915,1
Batesburg, SC,0.2583268588770865,659,3.0134,1
Buhl, AL,0.06198666666666667,15,2.5704,1
Goodwater, AL,0.13451428571428573,49,2.734,1
Williams, OR,0.26583222222222225,180,3.0303,1
Yonkers, NY,0.5665609616074633,2787,3.709,1
Port Allegany, PA,0.4303746963562753,988,3.4017,1
Falls, PA,0.05916315789473684,114,2.5641,1
Lincoln University, PA,0.30539876543209876,162,3.1197,1
Delaware Water Gap, PA,0.23725,28,2.9658,1
Petersburg, IN,0.25261333333333336,45,3.0005,1
Tarrs, PA,0.20272352941176472,34,2.8879,1
Lemont, IL,0.2823183512544803,2790,3.0675,1
Orem, UT,0.26939481223383666,5166,3.0384,1
Greendale, IN,0.3084391447368421,304,3.1264,1
North Mankato, MN,0.19534239583333335,1920,2.8712,1
Osseo, MN,0.30945982905982905,117,3.1289,1
Pemberton, MN,0.8974,1,4.4555,1
Vine Grove, KY,0.3515287022900763,655,3.2237,1
Frisco City, AL,0.3743666666666667,3,3.2754,1
Kellyton, AL,n/a,0,2.4305,0
Verbena, AL,0.40482061855670104,97,3.3439,1
Damascus, AR,0.19124786324786325,117,2.862,1
Geneva, AL,0.28975084745762714,177,3.0845,1
Savage, MN,0.2719087837837838,2516,3.0441,1
Falcon, MO,0.34523771106941836,533,3.2095,1
Milwaukee, WI,0.22338283213644525,4456,2.9346,1
Irwin, PA,0.24292975050768784,6894,2.9786,1
Cambridge, MN,0.3026239919354839,3472,3.1133,1
Watervliet, MI,0.293612,100,3.093,1
Afton, MN,0.3261471014492754,138,3.1664,1
East Peoria, IL,0.17075,16,2.8159,1
Fort Mill, SC,0.306694055997552,13072,3.1226,1
Danville, KY,0.26888449096098954,1051,3.0373,1
Meade, KS,0.0,3,2.4305,1
Turon, KS,0.47985,2,3.5132,1
Fort Campbell, KY,0.16231747572815533,103,2.7968,1
Richfield, MN,0.27519213051823416,521,3.0515,1
Silver Grove, KY,n/a,0,2.4305,0
Pine Valley, UT,0.26465,262,3.0276,1
North Plains, OR,n/a,0,2.4305,0
Pauline, SC,0.07675609756097561,82,2.6038,1
Killen, AL,0.22315208556149732,935,2.9342,1
Liverpool, PA,0.45667254901960785,102,3.4611,1
Greenville, NC,0.3298698208286674,1786,3.1749,1
Camp Hill, PA,0.3057613940092166,8680,3.1206,1
Columbus, PA,0.33205890909090907,550,3.1799,1
Oak Point, TX,0.24592024048096192,998,2.9854,1
Scottdale, PA,0.16503859649122807,114,2.8029,1
West Leechburg, PA,0.139368,100,2.7451,1
Charleston, WV,0.27803333333333335,6,3.0578,1
Long Grove, IL,0.33329230267449445,1533,3.1826,1
Methuen, MA,0.3703900442477876,1356,3.2663,1
Stephenville, TX,0.3915165137614679,654,3.3139,1
Watauga, TX,0.26283671116504853,1648,3.0235,1
Gaffney, SC,0.2807821122112211,1515,3.0642,1
Gallant, AL,n/a,0,2.4305,0
De Kalb, MO,0.17305714285714285,7,2.8211,1
Edmond, OK,0.28494370293043025,13411,3.0734,1
Avella, PA,0.1295695652173913,46,2.723,1
Adams, WI,0.26995,4,3.0398,1
Conemaugh, PA,0.40396603773584905,106,3.3421,1
Duncansville, PA,0.35982059496567503,874,3.2424,1
Emporium, PA,0.09973333333333333,18,2.6555,1
Rillton, PA,0.869225641025641,78,4.3918,1
Edgeworth, PA,0.1918572,1000,2.8636,1
Westwood, KS,0.34064564025909316,2007,3.1991,1
San Marcos, TX,0.3826179650238474,1258,3.2939,1
North Scituate, RI,0.26540134228187917,149,3.0294,1
Oakland, RI,0.13244778761061946,113,2.7293,1
Osakis, MN,0.16664444444444446,18,2.8065,1
Dewees Island, SC,0.7845,1,4.2007,1
Greer, SC,0.2861692855259689,15173,3.0763,1
Avon, CT,0.20980377358490565,53,2.9039,1
Joplin, MO,0.2500985317815577,5585,2.9949,1
Ash Grove, MO,0.16067857142857142,14,2.7932,1
Easton, PA,0.25686807306821857,12378,3.0102,1
Houston, TX,0.2817461773700306,15696,3.0662,1
Bremen, IN,0.18315580260303688,9220,2.8439,1
Trevorton, PA,n/a,0,2.4305,0
Billerica, MA,0.18741814285714287,9800,2.8534,1
Frisco, TX,0.2901534008683068,691,3.0854,1
Parker, CO,0.40446091834614584,14439,3.3433,1
Prospect, PA,0.1679456790123457,162,2.8094,1
Verona, PA,0.293119313304721,1864,3.0919,1
Washington, MI,0.30722246932515335,1304,3.1237,1
Erhard, MN,n/a,0,2.4305,0
Monticello, MN,0.26280017476406853,2861,3.0235,1
Greeley, CO,0.32926088280060883,1314,3.1736,1
Wylie, TX,0.3360835020992838,4049,3.1889,1
Dodge Center, MN,0.056705882352941175,34,2.5585,1
Berea, KY,0.3112850236277717,2751,3.133,1
Wingo, KY,n/a,0,2.4305,0
Tooele, UT,0.30441690307328606,846,3.1174,1
West Greenwich, RI,0.31148829787234045,282,3.1334,1
Haskell, OK,0.0901795918367347,98,2.6341,1
Arvada, CO,0.3215827360603442,997779,3.1562,1
Coaldale, PA,0.13415272727272728,110,2.7334,1
Fargo, ND,0.514178,100,3.5908,1
Hershey, PA,0.31033320000000003,3500,3.1307,1
Wapwallopen, PA,0.19308372093023254,172,2.8663,1
Columbia Cross Roads, PA,n/a,0,2.4305,0
Leetsdale, PA,0.4885549019607843,204,3.533,1
Smithfield, PA,0.15075785123966942,726,2.7708,1
Whitehall, MI,0.3122272151898734,158,3.135,1
Longville, MN,0.04404,10,2.5298,1
Murphy, TX,0.2522248275862069,290,2.9996,1
Shady Shores, TX,n/a,0,2.4305,0
Crawfordsville, IN,0.19741785714285714,28,2.876,1
South Shore, KY,0.22835572916666666,384,2.9459,1
Bellevue, NE,0.14460069444444446,288,2.7568,1
Christiansburg, VA,0.2573524045467794,3431,3.0114,1
Mc Connells, SC,n/a,0,2.4305,0
Bamberg, SC,0.17501666666666665,18,2.8254,1
Hubert, NC,0.261494,50,3.0206,1
Gardendale, AL,0.27114515733551287,2447,3.0423,1
Windsor, CT,0.17057093023255815,172,2.8155,1
Peyton, CO,0.221901582278481,632,2.9312,1
Watsonville, CA,0.5554891304347827,92,3.684,1
Conroe, TX,0.2727544510005131,23390,3.0461,1
Blandon, PA,0.2728087181528662,5028,3.0461,1
East Pittsburgh, PA,0.343975,208,3.2068,1
Harrisburg, PA,0.23922543118709222,19779,2.9703,1
Wernersville, PA,0.2275347619047619,1260,2.9439,1
Sinking Spring, PA,0.3614521768251842,5972,3.2462,1
Linesville, PA,0.0,14,2.4305,1
Hellam, PA,0.5258461538461539,104,3.617,1
Muncy, PA,0.2999588235294118,34,3.1075,1
Trenton, NJ,0.1537696748878924,3568,2.7776,1
Carlos, MN,0.0,1,2.4305,1
Jenkins, MN,0.011337499999999988,16,2.456,1
Herriman, UT,0.45903884892086333,1112,3.4662,1
Hanson, KY,0.11013103448275863,58,2.679,1
Lincoln, CA,0.12144397163120568,2538,2.7045,1
Lancaster, SC,0.2813297692378413,10877,3.0653,1
Republic, PA,0.06011000000000001,20,2.5662,1
Warren, PA,0.24553084431429967,4098,2.9845,1
Twin Falls, ID,0.14357576172543648,2921,2.7546,1
Karns City, PA,0.0,2,2.4305,1
Lititz, PA,0.37656933359163114,5162,3.2803,1
Hazelwood, MO,0.24891964285714285,560,2.9922,1
Jackson, MS,0.20990719424460433,278,2.9042,1
Mahtomedi, MN,0.5096166666666666,36,3.5804,1
American Fork, UT,0.3034368,1000,3.1151,1
Universal City, TX,0.27758898071625343,2904,3.0569,1
Chester, NJ,0.26341370967741934,124,3.0249,1
Yardley, PA,0.32409083665338645,502,3.1619,1
Bishopville, SC,0.196012,100,2.8728,1
Seminole, AL,0.28019418282548475,361,3.0628,1
Town Creek, AL,0.25360967741935486,31,3.0028,1
Birmingham, PA,0.4230715789473684,380,3.3852,1
Blue Bell, PA,0.22019712918660286,836,2.9274,1
Fort Washington, PA,0.28220162601626014,738,3.0673,1
Pooler, GA,0.26754358225024993,26006,3.0341,1
Springfield, PA,0.30472340425531913,2210,3.1181,1
Millerton, PA,0.19465294117647058,34,2.8699,1
Orangeville, PA,0.25029166666666663,24,2.9953,1
Washington, PA,0.4219317239834211,8929,3.3825,1
Berkeley, CA,0.2543066729500471,21220,3.0044,1
Parker, PA,-0.027333333333333328,18,2.3689,1
Callaway, MN,0.15848484848484848,33,2.7882,1
La Crescent, MN,0.11635,28,2.693,1
Hinckley, MN,n/a,0,2.4305,0
La Grange Park, IL,0.3243466150870406,517,3.1623,1
Altura, MN,n/a,0,2.4305,0
Yoakum, TX,n/a,0,2.4305,0
Connersville, IN,0.0,1,2.4305,1
Williamstown, PA,0.21502,300,2.9157,1
Smiths Grove, KY,0.25826533333333335,75,3.0134,1
Milton, MA,0.1741019512195122,820,2.8234,1
Waynesville, OH,0.2815808457711443,804,3.066,1
Westfield, MA,0.23812141482194418,4156,2.9678,1
Midland, TX,0.4068830769230769,65,3.3487,1
Pelion, SC,0.49802554978008795,2501,3.5542,1
Eufaula, AL,0.27249411764705883,68,3.0454,1
Bristol, VA,0.2066175,2280,2.8967,1
Moscow, TN,0.180452,350,2.8378,1
Bethlehem, PA,0.3023864926739927,17474,3.1129,1
Dunbar, PA,0.09159166666666667,72,2.6372,1
Springboro, PA,0.29195497835497836,462,3.0894,1
Transfer, PA,0.09451571428571429,140,2.6438,1
Mount Vernon, MO,0.053127969348659,783,2.5504,1
Ringtown, PA,0.18267368421052632,38,2.8428,1
Granite City, IL,0.10858333333333335,48,2.6756,1
Millheim, PA,0.2412181818181818,22,2.9748,1
Palm, PA,0.13176868686868687,198,2.7279,1
Belle Plaine, KS,0.033120000000000004,20,2.5052,1
Parma, OH,0.045443272727272783,275,2.533,1
Telephone, TX,n/a,0,2.4305,0
Medford, MA,0.25219468967062514,4464,2.9996,1
Henderson, KY,0.30299525395503746,2402,3.1142,1
Benton, KY,0.26054108187134506,687,3.0183,1
Texas city, TX,-0.01207391304347826,46,2.4032,1
Daytona Beach, FL,0.1369735294117647,34,2.7397,1
Deatsville, AL,0.2733117053481332,2973,3.0472,1
Alma, AR,0.24103071625344352,726,2.9743,1
Grandview, MO,0.2913261034047919,2379,3.0878,1
Marietta, OH,0.19634615384615384,13,2.8735,1
Camden, NJ,0.15357717250324254,3084,2.7771,1
Bergen, NY,0.0,6,2.4305,1
McAdoo, PA,0.0578,14,2.561,1
Philipsburg, PA,0.15116262626262628,198,2.7717,1
Connellsville, PA,0.1034139534883721,258,2.6639,1
Cranberry Twp, PA,0.03958474576271188,118,2.5199,1
Greensburg, PA,0.2732800353803386,3957,3.0472,1
Johnstown, PA,0.3261072589675277,25901,3.1664,1
Isanti, MN,0.2878606458123108,991,3.0802,1
Howard, PA,0.4060972222222222,72,3.3469,1
Lake Harmony, PA,0.3418342105263158,76,3.2018,1
Medical Lake, WA,0.29181131386861314,1644,3.089,1
Alexandria, MN,0.17628627881448958,911,2.8284,1
Glen Carbon, IL,0.2171384884884885,1998,2.9204,1
Medford, MN,0.26749354838709677,31,3.0341,1
La Fayette, IL,n/a,0,2.4305,0
Stoneham, MA,0.2848644165358451,1914,3.0734,1
San Carlos, CA,0.21369613793103448,2175,2.9127,1
Tolar, TX,n/a,0,2.4305,0
Pomona, KS,0.40839324473975636,2709,3.3521,1
Eaton, CO,0.142375,16,2.7519,1
Morgantown, KY,0.36260000000000003,4,3.2487,1
Bloomfield, KY,0.31661626794258374,209,3.1449,1
Arab, AL,0.13575408560311283,257,2.737,1
Denton, NC,-0.0016666666666666668,6,2.4267,1
Hope Hull, AL,0.19505094339622642,53,2.8708,1
West Blocton, AL,0.3461544662309368,459,3.2117,1
Crane Hill, AL,0.19217727272727275,44,2.8642,1
Cave Springs, AR,0.25301997382198954,3820,3.0014,1
Seale, AL,0.3147803680981595,163,3.1409,1
Reevesville, SC,0.0,4,2.4305,1
Bainbridge, PA,0.12066516853932585,356,2.7029,1
Greenwood, IN,0.38222764811490123,557,3.293,1
Reinholds, PA,0.23477149122807017,456,2.9604,1
Trafford, PA,0.40237148760330577,968,3.3385,1
Clarks Summit, PA,0.3362202443280977,1146,3.1892,1
Fleetwood, PA,0.20765535031847135,3144,2.8992,1
Unionville, CT,0.3319471698113208,106,3.1795,1
Moorhead, MN,0.3064953230472517,4148,3.1221,1
Batavia, IL,0.4231587570621469,177,3.3855,1
Morgan, UT,0.47719203426124196,4670,3.5073,1
Franklin, KY,0.2545711585866886,1217,3.005,1
Grayson, KY,0.0633,46,2.5734,1
Bessemer, AL,0.3020134755332497,7970,3.112,1
Lexington, SC,0.3265466431415128,11052,3.1673,1
Willisburg, KY,0.5515333333333333,3,3.675,1
Saint Stephen, SC,0.056883333333333334,18,2.5589,1
Scottsboro, AL,0.23902235047219308,953,2.9698,1
Union Grove, AL,0.2779060402684564,596,3.0576,1
Winthrop, MN,0.3393909090909091,143,3.1964,1
Pasadena, MD,0.20338558068819118,69719,2.8895,1
Walnut Creek, CA,0.30946291390728475,906,3.1289,1
Crowley, TX,0.23327169811320755,689,2.957,1
Blue Ridge Summit, PA,0.3701479166666667,96,3.2656,1
Troy, MO,0.3282577526132404,1148,3.1713,1
Glen Campbell, PA,n/a,0,2.4305,0
Harrison City, PA,0.2789542124542125,546,3.0601,1
Harwick, PA,0.20075535714285714,112,2.8836,1
Sciota, PA,0.25308378378378377,74,3.0016,1
Williamsburg, VA,0.1826498480243161,2961,2.8426,1
Perrysville, IN,0.20574516129032258,62,2.8947,1
Indianola, IL,0.0,3,2.4305,1
Largo, FL,0.15279112903225806,124,2.7753,1
Byron, MN,0.1112,16,2.6815,1
Monroe, NC,0.36933978906999043,1043,3.2638,1
Kentwood, LA,0.13077714285714287,70,2.7257,1
Monticello, UT,0.26448923444976075,836,3.0274,1
Marcell, MN,0.19403235294117646,68,2.8683,1
Menlo Park, CA,0.33852508960573474,5301,3.1943,1
Calexico, CA,0.33504935064935065,77,3.1864,1
York, SC,0.2713867924528302,53,3.0429,1
Winchester, KS,0.3395723320158103,253,3.1968,1
South Heights, PA,0.41095384615384617,26,3.3579,1
Kenai, AK,0.17878550724637682,414,2.834,1
Oakdale, CA,0.3641218274111675,591,3.2521,1
Bethany, OK,0.06099935483870969,930,2.5682,1
Warren, RI,0.314093359375,512,3.1393,1
Finksburg, MD,0.3066214285714286,70,3.1224,1
North Liberty, IA,0.3816950226244344,442,3.2918,1
Lineville, AL,n/a,0,2.4305,0
Mulga, AL,0.2416432,125,2.9757,1
Lapine, AL,0.06985833333333334,12,2.5883,1
Enfield, CT,0.3026421739130435,1380,3.1133,1
Dracut, MA,0.2716749593495935,615,3.0436,1
Luzerne, PA,0.27929172932330826,266,3.0608,1
Keene, NH,0.32228970588235295,408,3.1578,1
Warren Center, PA,0.05778235294117648,34,2.561,1
Decatur, GA,0.38728616315941194,3469,3.3045,1
Gaines, PA,0.32126666666666664,6,3.1555,1
New Stanton, PA,0.22102447478991596,1904,2.9292,1
Milton, PA,0.4512473684210526,38,3.4486,1
Greenwich, CT,0.3646734426229508,1830,3.2535,1
Eureka, IL,0.15550416666666667,24,2.7814,1
Lyons, IL,0.2794034129692833,586,3.061,1
Waterford, MI,0.3142188441098317,4518,3.1395,1
Friendswood, TX,0.27918000000000004,15,3.0605,1
Kellogg, MN,0.1538,5,2.7776,1
Lake In The Hills, IL,0.26328137651821865,1976,3.0247,1
Beryl, UT,n/a,0,2.4305,0
Mantua, UT,0.31767701149425287,522,3.1474,1
Taft, TX,0.12021111111111112,36,2.7018,1
Laurinburg, NC,n/a,0,2.4305,0
Woodlyn, PA,0.3938666666666667,90,3.3194,1
Fremont, NE,0.10352105263157896,38,2.6641,1
Bethany, LA,0.2853294300518135,965,3.0743,1
Wilmore, KY,0.28618857142857146,105,3.0763,1
Canyon, TX,0.0017540540540540554,37,2.4346,1
Pageland, SC,0.1701090163934426,122,2.8144,1
Brookline, MA,0.3257461382113821,3936,3.1655,1
Redmond, OR,0.45766944444444446,72,3.4633,1
Hemlock, MI,0.24877137546468403,1345,2.9919,1
Shavertown, PA,0.2975882096069869,458,3.1021,1
Lockport, NY,0.0702,76,2.5889,1
Pequea, PA,0.19997512437810946,402,2.8818,1
Brackenridge, PA,0.3902603448275862,348,3.3112,1
Pulaski, PA,0.15542432432432432,74,2.7812,1
Severn, MD,0.18682744038155802,3145,2.852,1
Kewanee, IL,0.14122093023255813,43,2.7492,1
Lindenhurst, IL,0.3709214188883868,2213,3.2675,1
Forest Lake, MN,0.3207427194317605,1971,3.1542,1
Forest View, IL,0.2547271052631579,380,3.0053,1
Lake Bluff, IL,0.4300007177033493,418,3.4008,1
Trophy Club, TX,n/a,0,2.4305,0
Washington, TX,n/a,0,2.4305,0
Manvel, TX,0.3160507836990596,319,3.1438,1
Ottawa, KS,0.23667731958762886,194,2.9646,1
Minnesota City, MN,0.24126230580539657,1223,2.975,1
Santa Clarita, CA,n/a,0,2.4305,0
Johnston, SC,0.43400689655172414,58,3.4098,1
Fort Mitchell, AL,0.21955475409836064,305,2.9261,1
Fultondale, AL,0.28534964028776977,1113,3.0743,1
Samson, AL,0.10564615384615385,13,2.6688,1
Lewisberry, PA,0.43721343283582087,1608,3.4171,1
Montgomery, PA,0.3436866666666667,90,3.2061,1
Reading, PA,0.2757014459121742,11206,3.0526,1
Lake Wales, FL,0.079375,4,2.6097,1
Justice, IL,0.3583274193548387,186,3.239,1
Ashby, MN,0.005427450980392168,51,2.4427,1
Circle Pines, MN,0.3443830476190476,535,3.2077,1
Harmony, MN,0.38379607843137253,204,3.2966,1
Waelder, TX,-0.06350689655172413,116,2.2873,1
Tenaha, TX,n/a,0,2.4305,0
Horse Cave, KY,0.145544,50,2.7589,1
Harrisburg, NC,0.19233030303030305,33,2.8645,1
Dixon, KY,0.08735454545454545,55,2.6278,1
Charleston, AR,0.20007128712871286,101,2.8821,1
Concord, CA,0.2967128976572133,4055,3.1,1
Old Forge, PA,0.17537517730496455,564,2.8263,1
Rutledge, PA,0.3579807926829268,656,3.2383,1
Selinsgrove, PA,0.21874699248120302,266,2.924,1
Whitehall, PA,0.2646548758865248,2256,3.0278,1
Morrisville, NC,0.4139551020408163,833,3.3647,1
Ellendale, MN,n/a,0,2.4305,0
Clearwater, KS,0.16591684210526314,190,2.8049,1
Vermillion, SD,0.26274000000000003,365,3.0233,1
Hanahan, SC,0.22032341772151898,474,2.9276,1
Mc Cormick, SC,n/a,0,2.4305,0
Clinton, SC,0.23498398268398268,231,2.9608,1
Ragland, AL,0.1636,127,2.7997,1
Tuskegee Institute, AL,0.0,8,2.4305,1
Hayward, CA,0.35277205506596443,19177,3.2266,1
Towson, MD,0.29632625482625485,4144,3.0991,1
Mayfield, PA,0.15048585526315789,608,2.7701,1
Conneaut Lake, PA,0.20625604395604397,364,2.896,1
Cleveland Heights, OH,0.552269696969697,264,3.6768,1
Grand Rapids, MN,0.0,6,2.4305,1
Meadowbrook, PA,0.26801160220994474,1448,3.0353,1
Hunlock Creek, PA,0.5083610526315789,190,3.5777,1
Center City, MN,0.26815466666666665,375,3.0357,1
Foothill Ranch, CA,0.2440619918699187,12300,2.9813,1
Center Point, AL,0.24712545210984593,1493,2.9881,1
Dent, MN,0.1609818181818182,22,2.7938,1
Norwalk, CA,0.22585642023346303,257,2.9403,1
Belmont, CA,0.21272643678160919,348,2.9105,1
Smithville, TX,0.2902946750195771,1277,3.0856,1
Thorndale, PA,-0.06237264957264957,117,2.2897,1
Addison, AL,n/a,0,2.4305,0
Walton, KY,0.3478876811594203,1794,3.2156,1
Watertown, NY,n/a,0,2.4305,0
Payson, UT,0.16531658031088084,193,2.8035,1
Tiverton, RI,0.2369529220779221,616,2.9653,1
Biloxi, MS,0.3390866117969822,3645,3.1957,1
Menasha, WI,0.6018488888888889,45,3.7885,1
Aldan, PA,0.1511875,224,2.7717,1
Lagrange, GA,0.35664912280701755,114,3.2352,1
Nashville, TN,0.2917751329156704,198246,3.089,1
West Chester, PA,0.31891735886065153,23452,3.1501,1
Mesa, AZ,0.17244085558952205,54629,2.8196,1
Waynesboro, PA,0.2567213514109348,9072,3.0098,1
Salem, OR,0.21610393063583816,865,2.9182,1
Susquehanna, PA,0.30027753846153843,650,3.1082,1
North Irwin, PA,0.41917,120,3.3764,1
Rogers, KY,n/a,0,2.4305,0
Menahga, MN,0.0,8,2.4305,1
Sterling, KS,0.30128333333333335,114,3.1104,1
Montevideo, MN,0.17529411764705882,51,2.8261,1
Sharon, SC,0.07706551724137932,58,2.6045,1
Grand Blanc, MI,0.34071927710843375,166,3.1993,1
Silverhill, AL,0.3206605095541401,314,3.1542,1
Summerdale, AL,0.28132744680851063,470,3.0653,1
Vandiver, AL,0.0,3,2.4305,1
Vernon, AL,0.098255,20,2.6524,1
Danville, AL,0.1912931899641577,279,2.8622,1
Elberta, AL,0.3339317307692308,416,3.184,1
Dravosburg, PA,0.18840985915492958,426,2.8557,1
Sheffield, PA,0.34194680306905373,782,3.202,1
Dunmore, PA,0.32910787504067684,3073,3.1731,1
Fredonia, PA,0.0,2,2.4305,1
Holtwood, PA,0.26574016736401673,478,3.0301,1
Lackawaxen, PA,0.2424360465116279,344,2.9775,1
Summit Hill, PA,0.2069409090909091,220,2.8974,1
Superior, CO,0.3892543859649123,114,3.309,1
Lebanon, IL,0.2597764705882353,102,3.0168,1
Goodhue, MN,0.0,2,2.4305,1
San Francisco, CA,0.3153645633971292,6688,3.1422,1
Sutherland Springs, TX,n/a,0,2.4305,0
Georgetown, KY,0.2670848248381205,6024,3.0332,1
Glenview, KY,0.3111751445086705,173,3.1327,1
Penn, PA,-0.04984999999999999,36,2.3182,1
Sunnyvale, CA,0.39861896162528215,443,3.33,1
Melville, NY,0.10063571428571429,14,2.6575,1
East Grand Forks, MN,n/a,0,2.4305,0
Troy, AL,0.06725294117647058,34,2.5824,1
Manchester, CT,0.351930966947201,217561,3.2246,1
Hyde Park, NY,0.19421372549019608,102,2.8687,1
Exton, PA,0.2347645871559633,1090,2.9604,1
Scott Township, PA,0.35065466666666667,150,3.2219,1
East Berlin, PA,0.3772013928571429,2800,3.2817,1
St. Louis Park, MN,0.20917165932452275,2043,2.9026,1
Palmyra, PA,0.2588150445194965,3257,3.0145,1
Litchfield, MN,0.4242207386363636,704,3.3877,1
Meridian, ID,n/a,0,2.4305,0
The Colony, TX,0.30763772619265217,5471,3.1246,1
West Columbia, TX,0.23988852459016394,61,2.9719,1
Decatur, IL,0.2525063157894737,380,3.0003,1
Burkesville, KY,0.0,2,2.4305,1
North Chesterfield, VA,0.35675805555555556,360,3.2356,1
Wyncote, PA,0.11657058823529412,102,2.6936,1
Moncks Corner, SC,0.251337793764988,2085,2.9976,1
