town,state,sentiment_score,number_of_posts,satisfaction_score,pie_sector_label
Mc Sherrystown, PA,0.2140747663551402,642,2.9,fill
Mc Sherrystown, PA,0.2140747663551402,642,2.1,blank
Adrian, MN,0.0,2,2.4,fill
Adrian, MN,0.0,2,2.6,blank
Inverness, FL,0.09780714285714287,28,2.7,fill
Inverness, FL,0.09780714285714287,28,2.3,blank
Bothell, WA,0.2796918918918919,185,3.1,fill
Bothell, WA,0.2796918918918919,185,1.9,blank
Warren, TX,0.3351546827794562,662,3.2,fill
Warren, TX,0.3351546827794562,662,1.7999999999999998,blank
Florence, KY,0.2793962962962963,5184,3.1,fill
Florence, KY,0.2793962962962963,5184,1.9,blank
Tullahoma, TN,0.25153039215686274,102,3.0,fill
Tullahoma, TN,0.25153039215686274,102,2.0,blank
Garrettsville, OH,-0.2787,2,1.8,fill
Garrettsville, OH,-0.2787,2,3.2,blank
Irvington, KY,0.26331717693836976,2515,3.0,fill
Irvington, KY,0.26331717693836976,2515,2.0,blank
Woodland Hills, UT,0.3777943488943489,407,3.3,fill
Woodland Hills, UT,0.3777943488943489,407,1.7000000000000002,blank
Fallston, MD,0.31022,200,3.1,fill
Fallston, MD,0.31022,200,1.9,blank
Palm Springs, CA,0.17733480016148567,2477,2.8,fill
Palm Springs, CA,0.17733480016148567,2477,2.2,blank
Alburtis, PA,0.23562448979591838,196,3.0,fill
Alburtis, PA,0.23562448979591838,196,2.0,blank
Watkinsville, GA,0.3596782991202346,1023,3.2,fill
Watkinsville, GA,0.3596782991202346,1023,1.7999999999999998,blank
Quakertown, PA,0.33439844473245695,5401,3.2,fill
Quakertown, PA,0.33439844473245695,5401,1.7999999999999998,blank
Harrisville, PA,0.24659837398373985,492,3.0,fill
Harrisville, PA,0.24659837398373985,492,2.0,blank
Northampton, PA,0.3027175359032502,2646,3.1,fill
Northampton, PA,0.3027175359032502,2646,1.9,blank
Hurricane, UT,0.1826408376963351,764,2.8,fill
Hurricane, UT,0.1826408376963351,764,2.2,blank
Garfield, KY,0.10403124999999999,16,2.7,fill
Garfield, KY,0.10403124999999999,16,2.3,blank
Whitewater, KS,0.18075555555555556,54,2.8,fill
Whitewater, KS,0.18075555555555556,54,2.2,blank
Santa Paula, CA,0.29895627906976746,2150,3.1,fill
Santa Paula, CA,0.29895627906976746,2150,1.9,blank
Jersey City, NJ,0.3505464705882353,170,3.2,fill
Jersey City, NJ,0.3505464705882353,170,1.7999999999999998,blank
Fountain Inn, SC,0.24212103649187366,3261,3.0,fill
Fountain Inn, SC,0.24212103649187366,3261,2.0,blank
Equality, AL,0.10514583333333333,24,2.7,fill
Equality, AL,0.10514583333333333,24,2.3,blank
Windom, MN,0.24150350877192983,114,3.0,fill
Windom, MN,0.24150350877192983,114,2.0,blank
Yoncalla, OR,0.17758,50,2.8,fill
Yoncalla, OR,0.17758,50,2.2,blank
Akron, PA,0.6204796875,128,3.8,fill
Akron, PA,0.6204796875,128,1.2000000000000002,blank
Aurora, IL,0.2135555172413793,290,2.9,fill
Aurora, IL,0.2135555172413793,290,2.1,blank
Antioch, TN,0.24783699610856116,40088,3.0,fill
Antioch, TN,0.24783699610856116,40088,2.0,blank
Chester, PA,0.2413149526607901,6130,3.0,fill
Chester, PA,0.2413149526607901,6130,2.0,blank
Ruffs Dale, PA,0.4422916666666667,96,3.4,fill
Ruffs Dale, PA,0.4422916666666667,96,1.6,blank
La Habra, CA,0.19418372093023256,430,2.9,fill
La Habra, CA,0.19418372093023256,430,2.1,blank
Senoia, GA,0.3667789667896679,271,3.3,fill
Senoia, GA,0.3667789667896679,271,1.7000000000000002,blank
Hanna City, IL,0.13579782608695654,46,2.7,fill
Hanna City, IL,0.13579782608695654,46,2.3,blank
Redding, CA,0.004282758620689669,116,2.4,fill
Redding, CA,0.004282758620689669,116,2.6,blank
Independence, KS,0.21989450261780105,3820,2.9,fill
Independence, KS,0.21989450261780105,3820,2.1,blank
Cranston, RI,0.28412799046740467,13008,3.1,fill
Cranston, RI,0.28412799046740467,13008,1.9,blank
Darlington, SC,0.26705993788819876,322,3.0,fill
Darlington, SC,0.26705993788819876,322,2.0,blank
Titusville, FL,0.24956666666666666,36,3.0,fill
Titusville, FL,0.24956666666666666,36,2.0,blank
Salem, VA,0.2696210116731517,2056,3.0,fill
Salem, VA,0.2696210116731517,2056,2.0,blank
Amity, PA,0.12894714285714284,140,2.7,fill
Amity, PA,0.12894714285714284,140,2.3,blank
Aspinwall, PA,0.33466326530612245,98,3.2,fill
Aspinwall, PA,0.33466326530612245,98,1.7999999999999998,blank
Berwyn, PA,0.3359221698113207,424,3.2,fill
Berwyn, PA,0.3359221698113207,424,1.7999999999999998,blank
Clearwater, FL,0.3689418544334576,6169,3.3,fill
Clearwater, FL,0.3689418544334576,6169,1.7000000000000002,blank
Baytown, TX,0.2518037414965986,2940,3.0,fill
Baytown, TX,0.2518037414965986,2940,2.0,blank
Wellsboro, PA,0.017456521739130433,46,2.5,fill
Wellsboro, PA,0.017456521739130433,46,2.5,blank
Branchburg, NJ,0.35325720653789006,3365,3.2,fill
Branchburg, NJ,0.35325720653789006,3365,1.7999999999999998,blank
Crafton, PA,0.18549,160,2.8,fill
Crafton, PA,0.18549,160,2.2,blank
Mahomet, IL,0.3715076433121019,1884,3.3,fill
Mahomet, IL,0.3715076433121019,1884,1.7000000000000002,blank
Lindstrom, MN,0.24918300970873786,206,3.0,fill
Lindstrom, MN,0.24918300970873786,206,2.0,blank
Westworth Village, TX,0.3503,30,3.2,fill
Westworth Village, TX,0.3503,30,1.7999999999999998,blank
Jeffersonville, IN,0.2811312101910828,157,3.1,fill
Jeffersonville, IN,0.2811312101910828,157,1.9,blank
Urbana, IL,0.23472920203735145,589,3.0,fill
Urbana, IL,0.23472920203735145,589,2.0,blank
Williamstown, KY,0.29030464933018124,1269,3.1,fill
Williamstown, KY,0.29030464933018124,1269,1.9,blank
Bethune, SC,0.164925,4,2.8,fill
Bethune, SC,0.164925,4,2.2,blank
Northport, AL,0.34163576119402983,10052,3.2,fill
Northport, AL,0.34163576119402983,10052,1.7999999999999998,blank
Vestavia Hills, AL,0.26739928315412187,1395,3.0,fill
Vestavia Hills, AL,0.26739928315412187,1395,2.0,blank
Moulton, AL,0.3813375,8,3.3,fill
Moulton, AL,0.3813375,8,1.7000000000000002,blank
Herndon, PA,0.22464854586129754,2682,2.9,fill
Herndon, PA,0.22464854586129754,2682,2.1,blank
Myerstown, PA,0.33792537313432836,938,3.2,fill
Myerstown, PA,0.33792537313432836,938,1.7999999999999998,blank
Honey Brook, PA,0.24108401253918496,638,3.0,fill
Honey Brook, PA,0.24108401253918496,638,2.0,blank
Fairfax, VA,0.328740748913868,14501,3.2,fill
Fairfax, VA,0.328740748913868,14501,1.7999999999999998,blank
Pasadena, TX,-0.004300000000000002,118,2.4,fill
Pasadena, TX,-0.004300000000000002,118,2.6,blank
West Yarmouth, MA,0.13976106800022994,17397,2.7,fill
West Yarmouth, MA,0.13976106800022994,17397,2.3,blank
New Hope, MN,0.258676401179941,2712,3.0,fill
New Hope, MN,0.258676401179941,2712,2.0,blank
Lehigh Acres, FL,0.07378888888888888,72,2.6,fill
Lehigh Acres, FL,0.07378888888888888,72,2.4,blank
Auburn, KY,0.26338284671532847,274,3.0,fill
Auburn, KY,0.26338284671532847,274,2.0,blank
Lewisport, KY,0.10794545454545455,11,2.7,fill
Lewisport, KY,0.10794545454545455,11,2.3,blank
Kennewick, WA,0.43813888888888886,54,3.4,fill
Kennewick, WA,0.43813888888888886,54,1.6,blank
Eureka, CA,0.22655465313028766,2955,2.9,fill
Eureka, CA,0.22655465313028766,2955,2.1,blank
Fuquay Varina, NC,0.44225581395348834,43,3.4,fill
Fuquay Varina, NC,0.44225581395348834,43,1.6,blank
Boiling Springs, SC,0.19979211434204042,2029,2.9,fill
Boiling Springs, SC,0.19979211434204042,2029,2.1,blank
Kennesaw, GA,0.25478740920096854,413,3.0,fill
Kennesaw, GA,0.25478740920096854,413,2.0,blank
Woodstock, MD,0.5898166666666667,78,3.8,fill
Woodstock, MD,0.5898166666666667,78,1.2000000000000002,blank
Corpus Christi, TX,0.23309710005191722,26966,3.0,fill
Corpus Christi, TX,0.23309710005191722,26966,2.0,blank
Ellwood City, PA,0.1630423398328691,1436,2.8,fill
Ellwood City, PA,0.1630423398328691,1436,2.2,blank
Forest City, PA,0.1683048888888889,450,2.8,fill
Forest City, PA,0.1683048888888889,450,2.2,blank
Suwanee, GA,0.2892171875,3456,3.1,fill
Suwanee, GA,0.2892171875,3456,1.9,blank
Damascus, PA,0.19124786324786325,234,2.9,fill
Damascus, PA,0.19124786324786325,234,2.1,blank
Indian Creek, IL,0.28483429203539823,452,3.1,fill
Indian Creek, IL,0.28483429203539823,452,1.9,blank
Lansing, IL,0.28092234375,1280,3.1,fill
Lansing, IL,0.28092234375,1280,1.9,blank
Blaine, MN,0.24504776602633283,4633,3.0,fill
Blaine, MN,0.24504776602633283,4633,2.0,blank
Conneaut, OH,0.185972972972973,37,2.9,fill
Conneaut, OH,0.185972972972973,37,2.1,blank
Wimberley, TX,0.2760218322866642,2707,3.1,fill
Wimberley, TX,0.2760218322866642,2707,1.9,blank
Weems, VA,0.33927539432176657,634,3.2,fill
Weems, VA,0.33927539432176657,634,1.7999999999999998,blank
Milford, KS,-0.0025,4,2.4,fill
Milford, KS,-0.0025,4,2.6,blank
Brooksville, KY,0.38896129032258064,31,3.3,fill
Brooksville, KY,0.38896129032258064,31,1.7000000000000002,blank
