town,state,sentiment_score,number_of_posts,satisfaction_score,star_fill,x,y,score_valid
Carlinville, IL,n/a,0,0,0,5,1,0
Pearland, TX,0.321729694,229,3.2,100,1,1,1
Pearland, TX,0.321729694,229,3.2,100,2,1,1
Pearland, TX,0.321729694,229,3.2,100,3,1,1
Pearland, TX,0.321729694,229,3.2,20.000000000000018,4,1,1
Pearland, TX,0.321729694,229,3.2,0,5,1,1
Wyoming, PA,0.305435088,456,3.1,100,1,1,1
Wyoming, PA,0.305435088,456,3.1,100,2,1,1
Wyoming, PA,0.305435088,456,3.1,100,3,1,1
Wyoming, PA,0.305435088,456,3.1,10.000000000000009,4,1,1
Wyoming, PA,0.305435088,456,3.1,0,5,1,1
Uvalde, TX,0,1,2.4,100,1,1,1
Uvalde, TX,0,1,2.4,100,2,1,1
Uvalde, TX,0,1,2.4,39.99999999999999,3,1,1
Uvalde, TX,0,1,2.4,0,4,1,1
Uvalde, TX,0,1,2.4,0,5,1,1
Mifflintown, PA,0.281424,25,3.1,100,1,1,1
Mifflintown, PA,0.281424,25,3.1,100,2,1,1
Mifflintown, PA,0.281424,25,3.1,100,3,1,1
Mifflintown, PA,0.281424,25,3.1,10.000000000000009,4,1,1
Mifflintown, PA,0.281424,25,3.1,0,5,1,1
Oakdale, MN,0.274197689,779,3.0,100,1,1,1
Oakdale, MN,0.274197689,779,3.0,100,2,1,1
Oakdale, MN,0.274197689,779,3.0,100,3,1,1
Oakdale, MN,0.274197689,779,3.0,0.0,4,1,1
Oakdale, MN,0.274197689,779,3.0,0,5,1,1
Sunset, SC,0.371885676,370,3.3,100,1,1,1
Sunset, SC,0.371885676,370,3.3,100,2,1,1
Sunset, SC,0.371885676,370,3.3,100,3,1,1
Sunset, SC,0.371885676,370,3.3,29.999999999999982,4,1,1
Sunset, SC,0.371885676,370,3.3,0,5,1,1
Hanceville, AL,0.259321586,227,3.0,100,1,1,1
Hanceville, AL,0.259321586,227,3.0,100,2,1,1
Hanceville, AL,0.259321586,227,3.0,100,3,1,1
Hanceville, AL,0.259321586,227,3.0,0.0,4,1,1
Hanceville, AL,0.259321586,227,3.0,0,5,1,1
Saline, MI,0.285797297,37,3.1,100,1,1,1
Saline, MI,0.285797297,37,3.1,100,2,1,1
Saline, MI,0.285797297,37,3.1,100,3,1,1
Saline, MI,0.285797297,37,3.1,10.000000000000009,4,1,1
Saline, MI,0.285797297,37,3.1,0,5,1,1
Rancho Mirage, CA,0.365957843,9709,3.3,100,1,1,1
Rancho Mirage, CA,0.365957843,9709,3.3,100,2,1,1
Rancho Mirage, CA,0.365957843,9709,3.3,100,3,1,1
Rancho Mirage, CA,0.365957843,9709,3.3,29.999999999999982,4,1,1
Rancho Mirage, CA,0.365957843,9709,3.3,0,5,1,1
West Dennis, MA,0.495191966,7717,3.5,100,1,1,1
West Dennis, MA,0.495191966,7717,3.5,100,2,1,1
West Dennis, MA,0.495191966,7717,3.5,100,3,1,1
West Dennis, MA,0.495191966,7717,3.5,50.0,4,1,1
West Dennis, MA,0.495191966,7717,3.5,0,5,1,1
Radnor, PA,0.396828,350,3.3,100,1,1,1
Radnor, PA,0.396828,350,3.3,100,2,1,1
Radnor, PA,0.396828,350,3.3,100,3,1,1
Radnor, PA,0.396828,350,3.3,29.999999999999982,4,1,1
Radnor, PA,0.396828,350,3.3,0,5,1,1
Renfrew, PA,0.180898065,310,2.8,100,1,1,1
Renfrew, PA,0.180898065,310,2.8,100,2,1,1
Renfrew, PA,0.180898065,310,2.8,79.99999999999999,3,1,1
Renfrew, PA,0.180898065,310,2.8,0,4,1,1
Renfrew, PA,0.180898065,310,2.8,0,5,1,1
Pine, CO,0.355235714,112,3.2,100,1,1,1
Pine, CO,0.355235714,112,3.2,100,2,1,1
Pine, CO,0.355235714,112,3.2,100,3,1,1
Pine, CO,0.355235714,112,3.2,20.000000000000018,4,1,1
Pine, CO,0.355235714,112,3.2,0,5,1,1
Carmel, IN,0.201334795,365,2.9,100,1,1,1
Carmel, IN,0.201334795,365,2.9,100,2,1,1
Carmel, IN,0.201334795,365,2.9,89.99999999999999,3,1,1
Carmel, IN,0.201334795,365,2.9,0,4,1,1
Carmel, IN,0.201334795,365,2.9,0,5,1,1
Malvern, PA,0.321339617,2663,3.2,100,1,1,1
Malvern, PA,0.321339617,2663,3.2,100,2,1,1
Malvern, PA,0.321339617,2663,3.2,100,3,1,1
Malvern, PA,0.321339617,2663,3.2,20.000000000000018,4,1,1
Malvern, PA,0.321339617,2663,3.2,0,5,1,1
New Boston, TX,n/a,0,0,0,1,1,0
New Boston, TX,n/a,0,0,0,2,1,0
New Boston, TX,n/a,0,0,0,3,1,0
New Boston, TX,n/a,0,0,0,4,1,0
New Boston, TX,n/a,0,0,0,5,1,0
Kilkenny, MN,0.52092381,126,3.6,100,1,1,1
Kilkenny, MN,0.52092381,126,3.6,100,2,1,1
Kilkenny, MN,0.52092381,126,3.6,100,3,1,1
Kilkenny, MN,0.52092381,126,3.6,60.00000000000001,4,1,1
Kilkenny, MN,0.52092381,126,3.6,0,5,1,1
Le Sueur, MN,0.130013095,84,2.7,100,1,1,1
Le Sueur, MN,0.130013095,84,2.7,100,2,1,1
Le Sueur, MN,0.130013095,84,2.7,70.00000000000001,3,1,1
Le Sueur, MN,0.130013095,84,2.7,0,4,1,1
Le Sueur, MN,0.130013095,84,2.7,0,5,1,1
Coshocton, OH,0.1424,20,2.8,100,1,1,1
Coshocton, OH,0.1424,20,2.8,100,2,1,1
Coshocton, OH,0.1424,20,2.8,79.99999999999999,3,1,1
Coshocton, OH,0.1424,20,2.8,0,4,1,1
Coshocton, OH,0.1424,20,2.8,0,5,1,1
South Houston, TX,n/a,0,0,0,1,1,0
South Houston, TX,n/a,0,0,0,2,1,0
South Houston, TX,n/a,0,0,0,3,1,0
South Houston, TX,n/a,0,0,0,4,1,0
South Houston, TX,n/a,0,0,0,5,1,0
White Settlement, TX,0.339312791,344,3.2,100,1,1,1
White Settlement, TX,0.339312791,344,3.2,100,2,1,1
White Settlement, TX,0.339312791,344,3.2,100,3,1,1
White Settlement, TX,0.339312791,344,3.2,20.000000000000018,4,1,1
White Settlement, TX,0.339312791,344,3.2,0,5,1,1
Park City, KS,0.262741497,1082,3.0,100,1,1,1
Park City, KS,0.262741497,1082,3.0,100,2,1,1
Park City, KS,0.262741497,1082,3.0,100,3,1,1
Park City, KS,0.262741497,1082,3.0,0.0,4,1,1
